year,title,authors,DL,proceedings
2022,#maskUp: Selective Attribute Encryption for Sensitive Vocalization for English language on Social Media Platforms,Aman Priyanshu and Supriti Vijay,https://arxiv.org/abs/2211.08653,ArXiv Pre-Print
2022,AdaptKeyBERT: An Attention-Based approach towards Few-Shot\& Zero-Shot Domain Adaptation of KeyBERT,Aman Priyanshu and Supriti Vijay,https://arxiv.org/abs/2211.07499,ArXiv Pre-Print
2022,NERDA-Con: Extending NER models for Continual Learning - Integrating Distinct Tasks and Updating Distribution Shifts,Supriti Vijay and Aman Priyanshu,https://arxiv.org/abs/2206.14607,"Accepted at the Updatable Machine Learning Workshop, ICML 2022"
2022,ARLIF-IDS--Attention augmented Real-Time Isolation Forest Intrusion Detection System,"Aman Priyanshu, Sarthak Shastri, and Sai Sravan Medicherla",https://arxiv.org/abs/2204.09737,Accepted at the Poster session at the 43rd IEEE Symposium on Security and Privacy
2022,Interpretability of Fine-grained Classification of Sadness and Depression,"Tiasa Singha Roy, Priyam Basu, Aman Priyanshu, and Rakshit Naidu",https://arxiv.org/abs/2203.10432,ArXiv Pre-Print
2022,Finding an elite feature for (D)DoS fast detection-Mixed methods research,"Josy Elsa Varghese, Balachandra Muniyal, and Aman Priyanshu",https://doi.org/10.1016/j.compeleceng.2022.107705,"Journal: Computers & Electrical Engineering, Volume: 98, Pages: 107705"
2021,Efficient Hyperparameter Optimization for Differentially Private Deep Learning,"Aman Priyanshu, Rakshit Naidu, Fatemehsadat Mireshghallah[, Mohammad Malekzadeh",https://arxiv.org/abs/2108.03888,"Accepted at the Privacy Preserving Machine Learning Workshop, ACM CCS 2021"
2021,"Something Something Hota Hai!"" An Explainable Approach towards Sentiment Analysis on Indian Code-Mixed Data","Aman Priyanshu, Aleti Vardhan, Sudarshan Sivakumar, Supriti Vijay, and Nipuna Chhabra",https://aclanthology.org/2021.wnut-1.48/,"Accepted at Workshop on Noisy User-generated Text (W-NUT), EMNLP 2021"
2021,ExCode-Mixed: Explainable Approaches towards Sentiment Analysis on Code-Mixed Data using BERT models,"Aman Priyanshu, Aleti Vardhan, Sudarshan Sivakumar, Supriti Vijay, and Nipuna Chhabra",https://arxiv.org/abs/2109.03200,ArXiv Pre-Print
2021,When Differential Privacy Meets Interpretability: A Case Study,"Rakshit Naidu, Aman Priyanshu, Aadith Kumar, Sasikanth Kotti, Haofan Wang, and Fatemehsadat Mireshghallah",https://arxiv.org/abs/2106.13203,"Accepted at the Responsible Computer Vision Workshop, CVPR 2021 and Privacy Preserving Machine Learning Workshop, ACM CCS 2021"
2021,Continual Distributed Learning for Crisis Management,"Aman Priyanshu, Mudit Sinha, and Shreyans Mehta",https://arxiv.org/abs/2104.12876,"Accepted at the 3rd Workshop on Continual and Multimodal Learning for Internet of Things, IJCAI 2021"
2021,FedPandemic: A Cross-Device Federated Learning Approach Towards Elementary Prognosis of Diseases During a Pandemic,Aman Priyanshu and Rakshit Naidu,https://arxiv.org/abs/2104.01864,"Accepted at the Machine Learning for Preventing and Combating Pandemics and the Distributed and Private Machine Learning Workshops, ICLR 2021"
2020,Stance Classification with Improved Elementary Classifiers Using Lemmatization (Grand Challenge),"Aman Priyanshu, Vedant Rishi Das, Shashank Rajiv Moghe, Harsh Rathod, Sai Sravan Medicherla, Mini Shail Chhabra, and Sarthak Shastri",https://www.doi.org/10.1109/BigMM50055.2020.00077,Accepted at 2020 IEEE Sixth International Conference on Multimedia Big Data (BigMM)
